,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Risk/Reward Calculator,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,, Potential Allocation,,,,,,Actual Allocation,,,,,,,,,,,,,
,Account Balance (BTC),,Stop Loss,Margin,Exchange,Hard Wallet,Reward,,Stop Loss,Margin,Exchange,Hard Wallet,Reward,,,,,,,,,
,1,,5%,10%,100%,0%,10%,,3.60%,6.82%,#REF!,#REF!,6.10%,,,,,,,,,
,,,0.05,0.10,1.00,0.00,0.10,,0.0360,0.0682,#REF!,#REF!,0.0610,,,,,,,,,
,Side (Long/Short),,,,,,,,,,,,,,,,,,,,,
,Long,,,Max Stop Loss,,,,,,Actual Stop Loss,,,,,,,,,,,,
,,,,Price,Price Change,ROE,,Liquidation Price,,Price,Price Change,ROE,,,,,,,,,,
,Leverage,,,2905.4,3.15%,51%,,2826.0,,2900.0,3.33%,53.99%,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,,,
,,,,Min. Profit Target,,,,Risk:Reward,,Actual Profit Target,,,,,,,,,,,,
,Entry Price,,,Price,Price Change,ROE,,Potenial,,Price,Price Change,ROE,,,,,,,,,,
,Actual,Planned,,3214.3,7.14%,102%,,2,,3200.0,6.67%,89%,,,,,,,,,,
Short,3000.0,3000,,,,,,Actual,,,,,,,,,,,,,,
Long,,,,,Min. Winrate,,,1.6942,,,Min. Winrate,,,,,,,,,,,
,Quantity,,,,Approximate,,,,,,Approximate,,,,,,,,,,,
1,Actual,Planned,Allocated,,33.33%,,,,,,37.12%,,,,,,,,,,,
2,3000,4398,4398,,Inc. Draw Down,,,,,,Inc. Draw Down,,,,,,,,,,,
3,,,,,#REF!,,,,,,#REF!,,,,,,,,,,,
5,Edit white cells with black boarders,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
15,,,Entries,,,,,Stops,,,,,,Targets,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,
25,,,% Margin Used,,,,,% Quantity Open,,,,,,% Quantity Open,,,,,,,,
30,,,100.00%,,,,,0.00%,,,,,,0.00%,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,
50,,Entry,% Margin,Quantity,Margin,Exit,% Quantity,Quantity,ROE,ROE %,,Exit,% Quantity,Quantity,ROE,ROE %,,,,,,
60,,3000,100%,4398,0.1000,2900,100.00%,3000.0,0.0345,50.58%,0.06896551724,3200,100%,3000.0,0.0625,91.67%,0.0625,,,,,
80,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,20,
,5,,,, ,,,,,,,,,,,,,,,19,,
,10.00,,,,,,,,,,,,,,,,,,18,,3.2673,100%
,15,,,,,,,,,,,,,,,,,17,,3.0795,100%,
,20,,,,,,,,,,,,,,,,16,,2.9025,100%,2.9687,95%
,25,,,,,,,,,,,,,,,15,,2.7357,100%,2.7980,95%,
,30,,,,,,,,,,,,,,14,,2.5784,100%,2.6372,94%,2.6973,90%
,40,,,,,,,,,,,,,13,,2.4302,100%,2.4856,94%,2.5423,89%,
,50.00,,,,,,,,,,,,12,,2.2905,100%,2.3427,94%,2.3961,89%,2.4508,85%
,60.0000,,,,,,,,,,,11,,2.1589,100%,2.2081,93%,2.2584,88%,2.3099,84%,
,80,,,,,,,,,,10,,2.0348,100%,2.0812,93%,2.1286,88%,2.1771,83%,2.2267,80%
,100,,,,,,,,,9,,1.9178,100%,1.9615,92%,2.0062,87%,2.0520,82%,2.0987,79%,
,,R:R Source,,,,,,,8,,1.8076,100%,1.8488,92%,1.8909,86%,1.9340,81%,1.9781,78%,2.0232,75%
,,Actual,,,,,,7,,1.7037,100%,1.7425,91%,1.7822,85%,1.8229,80%,1.8644,76%,1.9069,74%,
